Standardized,Original
endothelial cell of lymphatic vessel,Lymphatic endothelial cells
endothelial cell of lymphatic vessel,vein endothelial cell
endothelial cell of lymphatic vessel,capillary endothelial cell
endothelial cell of lymphatic vessel,endothelial cell of artery
endothelial cell of lymphatic vessel,Capillary Endothelial Cell
endothelial cell of lymphatic vessel,effector memory CD4-positive
endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
endothelial cell of lymphatic vessel,Arterial endothelial cell
endothelial cell of lymphatic vessel,effector memory CD8-positive
endothelial cell of lymphatic vessel,mesothelial cell
endothelial cell of lymphatic vessel,mucus secreting cell
endothelial cell of lymphatic vessel,Capillary endothelial cell
endothelial cell of lymphatic vessel,endothelial cell
endothelial cell of lymphatic vessel,Secretory cells
endothelial cell of lymphatic vessel,Endothelial cell
CD1c-positive myeloid dendritic cell,dendritic cell
CD1c-positive myeloid dendritic cell,Plasmacytoid Dendritic Cells
CD1c-positive myeloid dendritic cell,plasmacytoid dendritic cell
CD1c-positive myeloid dendritic cell,Dendritic cells
CD1c-positive myeloid dendritic cell,CD1c-positive myeloid dendritic cell
CD1c-positive myeloid dendritic cell,myeloid dendritic cell
B cell,B cell
alveolar macrophage,alveolar macrophage
naive thymus-derived CD8-positive,naive thymus-derived CD8-positive
naive thymus-derived CD8-positive,naive thymus-derived CD4-positive
Pericytes,pericyte
Pericytes,Pericytes
vascular associated smooth muscle cell,Smooth Muscle Cells
vascular associated smooth muscle cell,Smooth muscle cells
vascular associated smooth muscle cell,bronchial smooth muscle cell
vascular associated smooth muscle cell,vascular associated smooth muscle cell
Club cells,club cell
Club cells,Club cells
Alveolar epithelial cells type II,pulmonary alveolar type 2 cell
respiratory goblet cell,Basal epithelial cells
respiratory goblet cell,basal cell
respiratory goblet cell,respiratory goblet cell
respiratory goblet cell,respiratory basal cell
respiratory goblet cell,lung goblet cell
Macrophages,Macrophages
Macrophages,macrophage
Macrophages,Macrophage
lymphocyte,lymphocyte
Natural killer cells,Natural killer cells
Natural killer cells,natural killer cell
Natural killer cells,NK cells
Natural killer cells,mature NK T cell
Monocytes,monocyte
Monocytes,Monocytes
myeloid leukocyte,myeloid leukocyte
non-classical monocyte,Classical monocytes
non-classical monocyte,classical monocyte
non-classical monocyte,non-classical monocyte
intermediate monocyte,intermediate monocyte
Alveolar epithelial cells type I,Epithelial cells
Alveolar epithelial cells type I,lung ciliated cell
Alveolar epithelial cells type I,Ciliated Epithelial Cells
Alveolar epithelial cells type I,Alveolar Epithelial Type I Cells
Alveolar epithelial cells type I,Alveolar type II pneumocytes
Alveolar epithelial cells type I,pulmonary alveolar type 1 cell
Alveolar epithelial cells type I,Alveolar epithelial cells type II
Alveolar epithelial cells type I,Multiciliated Cells
Alveolar epithelial cells type I,ciliated cell
Alveolar epithelial cells type I,epithelial cell
myofibroblast cell,fibroblast
myofibroblast cell,pulmonary interstitial fibroblast
myofibroblast cell,myofibroblast cell
myofibroblast cell,Fibroblasts
megakaryocyte,megakaryocyte
Plasma cells,plasma cell
Plasma cells,Plasma cells
mesothelial cell of pleura,mesothelial cell of pleura
lung neuroendocrine cell,Neuroendocrine cells
lung neuroendocrine cell,lung neuroendocrine cell
pulmonary ionocyte,pulmonary ionocyte
serous cell of epithelium of bronchus,serous cell of epithelium of bronchus
serous cell of epithelium of bronchus,tracheobronchial serous cell
Cytotoxic T cell,Cytotoxic T cell
Cytotoxic T cell,CD8+ T cell
Naive T cells,Naive T cells
Activated T cell,Activated T cell
Proliferating T cells,Proliferating T cells
Proliferating T cells,Proliferating cells
Mast cells,Mast cells
Mast cells,mast cell
Neutrophils,neutrophil
Neutrophils,Neutrophils
Extracellular Matrix,Extracellular Matrix
Platelets,Platelets
alveolar adventitial fibroblast,alveolar adventitial fibroblast
adventitial cell,adventitial cell
basophil,basophil
"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta T cell"
"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell"
